Red_Mean,Green_Mean,Blue_Mean,Yaw_Change(Mean),Roll_Change(Mean),Pitch_Change(Mean),Yaw_Change(Std),Roll_Change(Std),Pitch_Change(Std),Heart_Rate,Heart_Rate_Variability,Blinking_Rate(per Min),Head_Move(Mean),Head_Move_X(Std),Head_Move_Y(Std),Head_Move(Std),Stress
178.3255696,137.1665294,118.7311266,0.038765471,0.028523512,0.071569324,0.038128339,0.027834816,0.068350628,89.43372216,38.89874761,4,0.259018615,0.367745901,0.319924324,0.319924324,0
176.8251026,136.0696766,117.1619882,0.081524961,0.050229531,0.12652643,0.134204656,0.079515822,0.170624524,93.0510226,59.41422,12,0.628081108,0.957386366,0.552266926,0.552266926,0
177.1290339,142.6831538,125.9547767,0.489768505,0.199985683,0.397419721,3.418229818,0.995373487,2.334400654,86.14504597,65.87779924,28,0.913793084,2.670720368,0.775989007,0.775989007,0
179.2511211,144.1957051,126.0088821,0.149630904,0.067136437,0.105067,0.212013066,0.078939244,0.112464681,83.39513185,47.30435161,38,0.401854841,0.553982212,0.579870283,0.579870283,0
164.1577438,130.6550693,113.5546529,0.588090539,0.463646948,0.605393827,3.595354319,2.774841547,3.524951458,89.40946746,53.05789617,12,1.215158845,2.124082257,1.297562135,1.297562135,0
173.7247264,138.5122083,121.4587027,0.212954119,0.134648159,0.216660857,0.355635375,0.254380018,0.333518744,88.68138801,58.21099285,46,0.800435971,1.005631734,0.781553364,0.781553364,0
158.1660522,126.1425468,109.0322483,0.632426262,0.38164866,0.573395312,2.798075676,1.477316499,2.394362688,84.82068966,125.9579366,32,2.287998924,2.826891117,2.316482161,2.316482161,0
170.298444,132.6465844,116.4506198,0.058359243,0.041931216,0.109566368,0.054731503,0.039449383,0.092029266,84.61041215,43.82311726,10,0.273093568,0.381220041,0.317631416,0.317631416,0
164.5377772,127.383268,111.6212886,0.062677152,0.043507673,0.115296155,0.060770512,0.045160137,0.132096246,83.95221843,51.48173214,6,0.311769221,0.358373901,0.484511426,0.484511426,0
161.4272385,124.6471324,109.3522796,0.074637271,0.054464374,0.130270436,0.078215964,0.067373499,0.16293557,80.17553957,64.51086373,18,0.4407287,0.428700796,0.546400609,0.546400609,0
